#transaccion,fecha,Código Producto,Cantidad,Precio unitario
929,2019-06-02,876,269,479
930,2019-11-05,548,404,632
931,2017-03-05,493,456,295
932,2017-12-31,275,748,506
933,2017-05-31,56,268,160
934,2019-11-07,761,228,242
935,2018-09-29,161,946,784
936,2017-11-09,810,231,310
937,2019-04-28,126,575,446
938,2017-04-17,314,110,811
939,2019-04-30,184,613,513
940,2019-01-27,848,825,914
941,2019-03-08,103,460,435
942,2019-03-06,509,753,915
943,2019-09-21,119,96,882
944,2018-12-18,384,169,79
945,2019-01-29,513,636,319
946,2018-04-21,964,552,953
947,2017-09-02,940,263,730
948,2019-05-26,688,487,398
949,2018-06-03,919,718,75
950,2019-02-08,18,448,557
951,2017-04-04,53,934,575
952,2018-07-13,214,341,374
953,2019-06-17,253,910,319
954,2018-09-18,350,310,792
955,2019-11-05,615,603,705
956,2018-08-26,631,470,503
957,2019-11-22,253,736,923
958,2019-04-26,971,718,179
959,2019-11-03,313,447,454
960,2018-07-07,954,776,607
961,2018-05-19,534,233,127
962,2017-07-15,60,186,692
963,2018-01-22,597,930,726
964,2018-03-13,180,428,292
965,2019-04-20,364,871,981
966,2019-05-20,274,63,316
967,2018-09-12,80,790,658
968,2017-07-13,699,578,632
969,2018-02-04,147,942,737
970,2019-05-08,878,195,574
971,2017-12-02,900,712,534
972,2017-09-02,66,585,586
973,2019-01-07,411,533,511
974,2018-04-08,187,553,557
975,2019-09-30,914,969,333
976,2019-05-02,61,841,367
977,2019-04-30,449,267,601
978,2018-01-14,438,113,510
979,2019-02-23,160,807,654
980,2019-10-31,103,961,695
981,2018-12-18,931,417,787
982,2019-01-08,681,665,693
983,2019-11-10,782,819,231
984,2019-11-05,386,202,254
985,2019-03-20,697,123,683
986,2019-06-29,689,30,792
987,2017-09-25,619,472,386
988,2019-09-23,424,274,297
989,2019-06-30,985,648,442
990,2019-01-09,485,1,509
991,2019-08-12,4,837,779
992,2019-11-25,619,801,679
993,2018-08-28,472,418,184
994,2018-01-17,537,365,788
995,2018-05-05,577,704,490
996,2017-06-13,275,941,495
997,2017-12-27,339,186,453
998,2018-03-07,341,275,948
999,2017-03-13,221,410,37
